Title:               Federal Government: National Defense Consumption Expenditures and Gross Investment
1978-10-01  148.428
1979-01-01  151.052
1979-04-01  155.960
1979-07-01  158.444
1979-10-01  165.684
1980-01-01  173.280
1980-04-01  177.612
1980-07-01  180.332
1980-10-01  192.628
1981-01-01  198.912
1981-04-01  208.072
1981-07-01  212.148
1981-10-01  225.612
1982-01-01  230.120
1982-04-01  239.324
1982-07-01  245.784
1982-10-01  255.908
1983-01-01  259.304
1983-04-01  267.140
1983-07-01  271.740
1983-10-01  279.200
1984-01-01  286.172
1984-04-01  292.636
1984-07-01  294.008
1984-10-01  305.824
1985-01-01  310.912
1985-04-01  320.452
1985-07-01  333.820
1985-10-01  338.656
1986-01-01  335.108
1986-04-01  347.768
1986-07-01  362.016
1986-10-01  351.860
1987-01-01  358.712
1987-04-01  369.264
1987-07-01  376.088
1987-10-01  375.708
1988-01-01  376.276
1988-04-01  378.492
1988-07-01  377.568
1988-10-01  386.120
1989-01-01  379.204
1989-04-01  389.452
1989-07-01  394.752
1989-10-01  391.148
1990-01-01  399.848
1990-04-01  402.504
1990-07-01  398.544
1990-10-01  410.140
1991-01-01  417.276
1991-04-01  417.532
1991-07-01  411.948
1991-10-01  401.052
1992-01-01  400.204
1992-04-01  402.836
1992-07-01  411.144
1992-10-01  404.688
1993-01-01  389.648
1993-04-01  388.392
1993-07-01  390.040
1993-10-01  392.188
1994-01-01  373.284
1994-04-01  379.200
1994-07-01  392.532
1994-10-01  376.248
1995-01-01  377.624
1995-04-01  380.596
1995-07-01  376.468
1995-10-01  369.508
1996-01-01  375.300
1996-04-01  380.916
1996-07-01  376.032
1996-10-01  373.944
1997-01-01  363.768
1997-04-01  374.392
1997-07-01  372.076
1997-10-01  375.500
1998-01-01  355.484
1998-04-01  368.688
1998-07-01  373.792
1998-10-01  372.844
1999-01-01  370.028
1999-04-01  375.944
1999-07-01  387.536
1999-10-01  397.356
2000-01-01  380.684
2000-04-01  397.424
2000-07-01  393.484
2000-10-01  395.216
2001-01-01  403.416
2001-04-01  410.292
2001-07-01  416.528
2001-10-01  420.668
2002-01-01  438.688
2002-04-01  450.052
2002-07-01  459.508
2002-10-01  479.128
2003-01-01  490.184
2003-04-01  526.796
2003-07-01  522.704
2003-10-01  539.852
2004-01-01  554.836
2004-04-01  564.688
2004-07-01  585.576
2004-10-01  575.820
2005-01-01  596.772
2005-04-01  605.028
2005-07-01  623.376
2005-10-01  607.840
2006-01-01  633.452
2006-04-01  641.436
2006-07-01  638.748
2006-10-01  655.924
2007-01-01  654.504
2007-04-01  672.604
2007-07-01  690.680
2007-10-01  697.116
2008-01-01  719.744
2008-04-01  741.220
2008-07-01  776.644
2008-10-01  778.900
2009-01-01  760.232
2009-04-01  785.416
2009-07-01  802.808
2009-10-01  804.648
2010-01-01  811.924
2010-04-01  829.336
2010-07-01  846.324
2010-10-01  843.480
2011-01-01  823.384
2011-04-01  844.880
2011-07-01  851.464
2011-10-01  828.024
2012-01-01  826.410
2012-04-01  818.771
2012-07-01  821.489
2012-10-01  804.606
2013-01-01  779.630
2013-04-01  769.963
2013-07-01  759.295
2013-10-01  759.041
2014-01-01  748.820
2014-04-01  747.421
2014-07-01  753.563
2014-10-01  732.749
2015-01-01  731.705
2015-04-01  735.008
2015-07-01  726.766
2015-10-01  732.801
2016-01-01  728.919
2016-04-01  726.872
2016-07-01  732.291
2016-10-01  727.597
2017-01-01  730.237
2017-04-01  741.350
2017-07-01  746.658
